source_pack,category,normalized_path,width,height,frames,notes
high_forest,player/idle,player/idle.png,96,80,4,
high_forest,player/run,player/run.png,96,80,8,
high_forest,player/attack1,player/attack1.png,96,80,8,
high_forest,player/dead,player/dead.png,96,80,8,
high_forest,player/jump_start,player/jump_start.png,96,80,4,
high_forest,player/jump_all,player/jump_all.png,96,80,15,
high_forest,player/jump_end,player/jump_end.png,96,80,3,
high_forest,player/hurt,player/hurt.png,96,80,2,derived
high_forest,enemy/snail/walk,enemies/snail/walk.png,32,32,12,
high_forest,enemy/snail/hide,enemies/snail/hide.png,32,32,12,
high_forest,enemy/snail/dead,enemies/snail/dead.png,32,32,12,
high_forest,enemy/bee/fly,enemies/bee/fly.png,64,64,4,
high_forest,enemy/bee/attack,enemies/bee/attack.png,64,64,4,
high_forest,enemy/bee/hit,enemies/bee/hit.png,64,64,4,
high_forest,enemy/boar/idle,enemies/boar/idle.png,32,32,6,
high_forest,enemy/boar/walk,enemies/boar/walk.png,32,32,9,
high_forest,enemy/boar/run,enemies/boar/run.png,32,32,9,
high_forest,enemy/boar/hit,enemies/boar/hit.png,32,32,6,
wild_boar,enemy/wild_boar/idle,enemies/wild_boar/idle.png,64,48,4,
wild_boar,enemy/wild_boar/walk,enemies/wild_boar/walk.png,96,64,8,
wild_boar,enemy/wild_boar/run,enemies/wild_boar/run.png,96,64,6,
wild_boar,enemy/wild_boar/attack,enemies/wild_boar/attack.png,64,64,6,
wild_boar,enemy/wild_boar/dead,enemies/wild_boar/dead.png,96,48,4,
boar_warrior,enemy/boar_warrior/idle,enemies/boar_warrior/idle.png,96,64,4,
boar_warrior,enemy/boar_warrior/walk,enemies/boar_warrior/walk.png,80,64,8,
boar_warrior,enemy/boar_warrior/attack,enemies/boar_warrior/attack.png,160,112,8,
boar_warrior,enemy/boar_warrior/dead,enemies/boar_warrior/dead.png,144,96,8,
prison,enemy/skeleton/idle,enemies/skeleton/idle.png,32,48,4,
prison,enemy/skeleton/walk,enemies/skeleton/walk.png,64,64,8,
prison,enemy/skeleton/run,enemies/skeleton/run.png,64,64,8,
prison,enemy/skeleton/attack,enemies/skeleton/attack.png,96,80,8,
prison,enemy/skeleton/hit,enemies/skeleton/hit.png,64,64,4,
prison,enemy/skeleton/dead,enemies/skeleton/dead.png,64,64,8,
sewers,enemy/slime/idle,enemies/slime/idle.png,32,32,4,
sewers,enemy/slime/move,enemies/slime/move.png,32,32,4,
sewers,enemy/slime/fall,enemies/slime/fall.png,32,32,8,
sewers,enemy/slime/dead,enemies/slime/dead.png,32,32,4,
purple_bay,enemy/crab/idle,enemies/crab/idle.png,64,48,4,
purple_bay,enemy/crab/walk,enemies/crab/walk.png,64,48,8,
purple_bay,enemy/crab/attack,enemies/crab/attack.png,64,64,10,
purple_bay,enemy/crab/dead,enemies/crab/dead.png,64,64,10,
high_forest,env/tiles,env/high_forest/tiles.png,400,400,,
